Player,Team,Position,Age,draft_year,draft_team,draft_round,round_pick,overall_pick
Grigori Denisenko,FLA,L,23,2018,FLA,1,15,15
Guillaume Brisebois,VAN,D,26,2015,VAN,3,5,66
Gustav Forsling,FLA,D,28,2014,VAN,5,6,126
Gustav Lindstrom,DET,D,25,2017,DET,2,7,38
Gustav Nyquist,CBJ,C,34,2008,DET,4,30,121
Hampus Lindholm,"ANA, BOS",D,30,2012,ANA,1,6,6
Hayden Hodgson,PHI,R,28,-,-,-,-,-
Haydn Fleury,SEA,D,27,2014,CAR,1,7,7
Hendrix Lapierre,WSH,C,22,2020,WSH,1,22,22
Henri Jokiharju,BUF,D,24,2017,CHI,1,29,29
Henrik Borgstrom,CHI,C,26,2016,FLA,1,23,23
Hudson Fasching,ARI,R,28,2013,L.A,4,27,118
Hunter Drew,ANA,D,25,2018,ANA,6,23,178
Ian Cole,CAR,D,35,2007,STL,1,18,18
Ian Mitchell,CHI,D,25,2017,CHI,2,26,57
Ilya Lyubushkin,"ARI, TOR",D,30,-,-,-,-,-
Ilya Mikheyev,TOR,R,29,-,-,-,-,-
Isaac Ratcliffe,PHI,L,25,2017,PHI,2,4,35
Isaak Phillips,CHI,D,22,2020,CHI,5,17,141
Isac Lundestrom,ANA,C,24,2018,ANA,1,23,23
Ivan Barbashev,STL,C,28,2014,STL,2,3,33
Ivan Provorov,PHI,D,27,2015,PHI,1,7,7
J.T. Compher,COL,L,29,2013,BUF,2,5,35
J.T. Miller,VAN,C,31,2011,NYR,1,15,15
Jaccob Slavin,CAR,D,30,2012,CAR,4,29,120
Jack Ahcan,BOS,D,27,-,-,-,-,-
Jack Drury,CAR,C,24,2018,CAR,2,11,42
Jack Eichel,VGK,C,27,2015,BUF,1,2,2
Jack Hughes,N.J,C,23,2019,N.J,1,1,1
Jack Johnson,COL,D,37,2005,CAR,1,3,3
Jack McBain,ARI,C,24,2018,MIN,3,1,63
Jack Quinn,BUF,R,22,2020,BUF,1,8,8
Jack Rathbone,VAN,D,25,2017,VAN,4,2,95
Jack Roslovic,CBJ,C,27,2015,WPG,1,25,25
Jack Studnicka,BOS,C,25,2017,BOS,2,22,53
Jackson Cates,PHI,C,26,-,-,-,-,-
Jacob Bernard-Docker,OTT,D,23,2018,OTT,1,26,26
Jacob Bryson,BUF,D,26,2017,BUF,4,6,99
Jacob Larsson,ANA,D,27,2015,ANA,1,27,27
Jacob MacDonald,COL,D,31,-,-,-,-,-
Jacob Moverare,L.A,D,25,2016,L.A,4,21,112
Jacob Perreault,ANA,R,22,2020,ANA,1,27,27
Jacob Peterson,DAL,C,24,2017,DAL,5,8,132
Jacob Trouba,NYR,D,30,2012,WPG,1,9,9
Jaden Schwartz,SEA,C,31,2010,STL,1,14,14
Jake Bean,CBJ,D,26,2016,CAR,1,13,13
Jake Christiansen,CBJ,D,24,-,-,-,-,-
Jake DeBrusk,BOS,L,27,2015,BOS,1,14,14
Jake Evans,MTL,C,28,2014,MTL,7,27,207
Jake Guentzel,PIT,L,29,2013,PIT,3,16,77
Jake Leschyshyn,VGK,C,25,2017,VGK,2,31,62
Jake McCabe,CHI,D,30,2012,BUF,2,14,44
