"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"297","Josh Morrissey","WPG","D","81","1958.9","10","59","28","31","69","52.27","196","5.10","11.9","447","292","134","19","4","23","44","22","22","0","0","22","42","45","81","90","103","0","0","-"
"325","Dylan Larkin","DET","C","68","1371.7333333333","33","36","26","10","69","65.09","222","14.86","25.91","425","313","234","87","7","31","39","14","12","1","1","30","44","48","35","49","34","716","577","55.38"
"294","Bo Horvat","NYI","C","81","1595.2","33","35","19","16","68","59.65","249","13.25","25.01","430","339","273","100","15","41","39","14","12","1","1","13","44","35","54","60","42","765","654","53.91"
"382","Jack Eichel","VGK","C","63","1292.75","31","37","21","16","68","75.56","278","11.15","24.02","431","348","200","77","19","35","27","8","6","1","1","23","42","60","20","73","61","413","495","45.48"
"397","Travis Konecny","PHI","R","76","1508.0166666667","33","35","23","12","68","72.34","245","13.47","26.55","492","368","237","91","20","44","67","24","21","1","2","25","30","53","84","74","32","39","58","40.21"
"715","Matt Boldy","MIN","L","75","1416.1666666667","29","39","25","14","68","62.39","227","12.78","26.22","507","350","296","96","6","51","48","22","22","0","0","21","49","61","29","113","32","37","51","42.05"
"6","Joe Pavelski","DAL","C","82","1378.3666666667","27","40","26","14","67","62.04","194","13.92","28.18","329","261","232","130","7","34","20","10","10","0","0","19","56","25","69","50","70","355","340","51.08"
"9","Evgeni Malkin","PIT","C","82","1515.2166666667","27","40","24","16","67","69.07","199","13.57","23.62","401","280","220","83","7","47","70","33","33","0","0","32","55","90","25","75","42","389","409","48.75"
"21","Brad Marchand","BOS","L","82","1566.35","29","38","21","17","67","63.81","207","14.01","25.28","389","294","213","89","17","19","78","36","34","2","0","46","80","48","105","111","35","24","31","43.64"
"170","Ryan Nugent-Hopkins","EDM","C","80","1569.9333333333","18","49","29","20","67","52.34","183","9.84","24.43","369","264","239","105","9","31","36","18","18","0","0","7","34","61","61","57","34","236","256","47.97"
"398","Dylan Strome","WSH","C","82","1471.9","27","40","31","9","67","74.44","169","15.98","24.62","309","241","207","110","7","44","22","11","11","0","0","10","35","41","12","45","61","697","623","52.80"
"466","Alex DeBrincat","DET","R","82","1467.15","27","40","26","14","67","62.62","237","11.39","25.64","482","350","244","71","10","45","34","14","12","2","0","23","39","49","57","56","35","16","22","42.11"
"488","Jordan Kyrou","STL","C","82","1503.2","31","36","22","14","67","70.53","251","12.35","23.69","506","365","263","79","15","38","22","11","11","0","0","14","53","51","25","102","32","3","6","33.33"
"548","Nico Hischier","N.J","C","71","1381.1166666667","27","40","24","16","67","63.81","182","14.84","29.11","328","259","232","129","12","39","12","6","6","0","0","23","28","55","41","68","41","785","602","56.60"
"776","Seth Jarvis","CAR","C","81","1518.75","33","34","20","14","67","56.30","179","18.44","29.88","319","262","234","133","10","32","14","7","7","0","0","18","42","43","105","162","52","157","195","44.60"
"591","Drake Batherson","OTT","R","82","1490.2666666667","28","38","29","9","66","72.53","196","14.29","24.53","391","295","215","103","15","32","42","17","16","0","1","13","40","46","93","90","33","38","55","40.86"
"8","Alex Ovechkin","WSH","L","79","1518.4666666667","31","34","21","13","65","63.73","272","11.40","29.66","605","395","245","83","17","64","20","10","10","0","0","11","35","26","147","35","27","0","2","0.00"
"77","John Tavares","TOR","C","80","1429.2","29","36","18","18","65","63.11","279","10.39","41.44","484","385","334","204","12","63","30","15","15","0","0","22","51","37","124","112","37","802","551","59.28"
"79","Matt Duchene","DAL","C","80","1341.3","25","40","26","14","65","73.86","172","14.53","22.76","347","257","194","85","8","29","20","10","10","0","0","12","58","36","28","88","48","360","277","56.51"
"403","Roope Hintz","DAL","C","80","1379.1833333333","30","35","17","18","65","57.02","182","16.48","26.16","330","260","210","106","12","31","22","11","11","0","0","19","37","24","33","71","38","318","248","56.18"
"706","Cole Caufield","MTL","R","82","1592.4833333333","28","37","23","14","65","60.75","314","8.92","32.38","564","436","268","88","10","48","16","8","8","0","0","20","41","33","51","75","22","7","9","43.75"
"851","Wyatt Johnston","DAL","C","82","1394.2","32","33","25","8","65","79.27","216","14.81","29.42","409","308","266","126","15","43","38","19","19","0","0","20","31","39","49","97","42","318","316","50.16"
"29","Claude Giroux","OTT","R","82","1647.55","21","43","27","16","64","68.82","183","11.48","18.49","346","247","173","78","19","34","26","13","13","0","0","24","46","53","36","52","30","668","484","57.99"
"419","Joel Eriksson Ek","MIN","C","77","1578.7833333333","30","34","15","19","64","51.20","267","11.24","39.79","423","359","265","178","8","48","60","26","25","0","1","31","17","37","149","88","55","794","805","49.66"
"110","Mats Zuccarello","MIN","R","69","1301.8333333333","12","51","33","18","63","64.95","173","6.94","16.13","334","247","153","44","9","36","30","15","15","0","0","21","38","38","23","64","50","27","45","37.50"
"260","Pavel Buchnevich","STL","L","80","1585.9666666667","27","36","21","15","63","59.43","207","13.04","27.47","390","308","240","108","20","27","48","20","19","0","1","18","50","47","39","64","28","77","129","37.38"
"203","Mike Matheson","MTL","D","82","2095.3333333333","11","51","24","27","62","57.94","187","5.88","10.1","403","252","115","23","6","30","58","29","29","0","0","23","76","49","47","113","186","0","0","-"
"333","Jared McCann","SEA","L","80","1340.8833333333","29","33","20","13","62","78.48","216","13.43","21.71","440","318","209","66","23","33","31","14","13","1","0","34","29","42","40","61","27","147","160","47.88"
