game_id,season,gameType,awayTeam.id,awayTeam.abbrev,homeTeam.id,homeTeam.abbrev,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
2024020622,20242025,2,1,NJD,28,SJS,San Jose,New Jersey,2,3,8476879,8482137,OFF,https://api-web.nhle.com/v1/gamecenter/2024020622/play-by-play,2025-01-04 21:00:00+00:00,9:00 pm,2025-01-04
2024020623,20242025,2,6,BOS,10,TOR,Toronto,Boston,4,6,8478483,8479361,OFF,https://api-web.nhle.com/v1/gamecenter/2024020623/play-by-play,2025-01-05 00:00:00+00:00,12:00 am,2025-01-05
2024020624,20242025,2,30,MIN,12,CAR,Carolina,Minnesota,4,0,8475692,8479406,OFF,https://api-web.nhle.com/v1/gamecenter/2024020624/play-by-play,2025-01-05 00:00:00+00:00,12:00 am,2025-01-05
2024020625,20242025,2,19,STL,29,CBJ,Columbus,St. Louis,4,6,8481716,8478007,OFF,https://api-web.nhle.com/v1/gamecenter/2024020625/play-by-play,2025-01-05 00:00:00+00:00,12:00 am,2025-01-05
2024020626,20242025,2,8,MTL,21,COL,Colorado,Montréal,2,1,,8482487,OFF,https://api-web.nhle.com/v1/gamecenter/2024020626/play-by-play,2025-01-05 00:00:00+00:00,12:00 am,2025-01-05
2024020627,20242025,2,18,NSH,20,CGY,Calgary,Nashville,4,1,8475158,8481020,OFF,https://api-web.nhle.com/v1/gamecenter/2024020627/play-by-play,2025-01-05 03:00:00+00:00,3:00 am,2025-01-05
2024020628,20242025,2,59,UTA,25,DAL,Dallas,Utah,2,3,8481581,8479979,OFF,https://api-web.nhle.com/v1/gamecenter/2024020628/play-by-play,2025-01-05 01:00:00+00:00,1:00 am,2025-01-05
2024020629,20242025,2,14,TBL,26,LAK,Los Angeles,Tampa Bay,1,2,8477960,8475311,OFF,https://api-web.nhle.com/v1/gamecenter/2024020629/play-by-play,2025-01-05 02:00:00+00:00,2:00 am,2025-01-05
2024020630,20242025,2,7,BUF,54,VGK,Vegas,Buffalo,1,3,8475913,8478499,OFF,https://api-web.nhle.com/v1/gamecenter/2024020630/play-by-play,2025-01-05 03:00:00+00:00,3:00 am,2025-01-05
2024020631,20242025,2,22,EDM,55,SEA,Seattle,Edmonton,4,2,8476454,8475717,OFF,https://api-web.nhle.com/v1/gamecenter/2024020631/play-by-play,2025-01-05 03:00:00+00:00,3:00 am,2025-01-05
2024020632,20242025,2,3,NYR,16,CHI,Chicago,New York,6,2,8480078,8475839,OFF,https://api-web.nhle.com/v1/gamecenter/2024020632/play-by-play,2025-01-05 20:00:00+00:00,8:00 pm,2025-01-05
2024020633,20242025,2,2,NYI,6,BOS,Boston,New York,5,4,8477500,8478009,OFF,https://api-web.nhle.com/v1/gamecenter/2024020633/play-by-play,2025-01-05 23:00:00+00:00,11:00 pm,2025-01-05
2024020634,20242025,2,5,PIT,12,CAR,Carolina,Pittsburgh,3,4,8478427,8474682,OFF,https://api-web.nhle.com/v1/gamecenter/2024020634/play-by-play,2025-01-05 23:00:00+00:00,11:00 pm,2025-01-05
2024020635,20242025,2,4,PHI,10,TOR,Toronto,Philadelphia,2,3,8476853,8483710,OFF,https://api-web.nhle.com/v1/gamecenter/2024020635/play-by-play,2025-01-06 00:00:00+00:00,12:00 am,2025-01-06
2024020636,20242025,2,14,TBL,24,ANA,Anaheim,Tampa Bay,1,4,8478366,8476434,OFF,https://api-web.nhle.com/v1/gamecenter/2024020636/play-by-play,2025-01-06 01:00:00+00:00,1:00 am,2025-01-06
2024020637,20242025,2,15,WSH,7,BUF,Buffalo,Washington,3,4,,8480045,OFF,https://api-web.nhle.com/v1/gamecenter/2024020637/play-by-play,2025-01-07 00:00:00+00:00,12:00 am,2025-01-07
2024020638,20242025,2,23,VAN,8,MTL,Montréal,Vancouver,4,5,8480018,8478470,OFF,https://api-web.nhle.com/v1/gamecenter/2024020638/play-by-play,2025-01-07 00:30:00+00:00,12:30 am,2025-01-07
2024020639,20242025,2,13,FLA,21,COL,Colorado,Florida,1,3,8478038,8478406,OFF,https://api-web.nhle.com/v1/gamecenter/2024020639/play-by-play,2025-01-07 02:00:00+00:00,2:00 am,2025-01-07
2024020640,20242025,2,1,NJD,55,SEA,Seattle,New Jersey,3,2,8476292,8474593,OFF,https://api-web.nhle.com/v1/gamecenter/2024020640/play-by-play,2025-01-07 03:00:00+00:00,3:00 am,2025-01-07
2024020641,20242025,2,22,EDM,6,BOS,Boston,Edmonton,4,0,8474641,8479973,OFF,https://api-web.nhle.com/v1/gamecenter/2024020641/play-by-play,2025-01-08 00:00:00+00:00,12:00 am,2025-01-08
2024020642,20242025,2,9,OTT,17,DET,Detroit,Ottawa,2,3,8474141,8475660,OFF,https://api-web.nhle.com/v1/gamecenter/2024020642/play-by-play,2025-01-08 00:00:00+00:00,12:00 am,2025-01-08
2024020643,20242025,2,25,DAL,3,NYR,New York,Dallas,5,4,8473994,8479979,OFF,https://api-web.nhle.com/v1/gamecenter/2024020643/play-by-play,2025-01-08 00:00:00+00:00,12:00 am,2025-01-08
2024020644,20242025,2,10,TOR,4,PHI,Philadelphia,Toronto,3,2,8482720,8479361,OFF,https://api-web.nhle.com/v1/gamecenter/2024020644/play-by-play,2025-01-08 00:30:00+00:00,12:30 am,2025-01-08
2024020645,20242025,2,29,CBJ,5,PIT,Pittsburgh,Columbus,4,3,,8478007,OFF,https://api-web.nhle.com/v1/gamecenter/2024020645/play-by-play,2025-01-08 00:00:00+00:00,12:00 am,2025-01-08
2024020646,20242025,2,19,STL,30,MIN,Minnesota,St. Louis,4,6,8481557,8470594,OFF,https://api-web.nhle.com/v1/gamecenter/2024020646/play-by-play,2025-01-08 01:00:00+00:00,1:00 am,2025-01-08
2024020647,20242025,2,18,NSH,52,WPG,Winnipeg,Nashville,2,5,8478398,8476945,OFF,https://api-web.nhle.com/v1/gamecenter/2024020647/play-by-play,2025-01-08 01:00:00+00:00,1:00 am,2025-01-08
2024020648,20242025,2,20,CGY,24,ANA,Anaheim,Calgary,3,2,8476456,8481692,OFF,https://api-web.nhle.com/v1/gamecenter/2024020648/play-by-play,2025-01-08 03:00:00+00:00,3:00 am,2025-01-08
2024020649,20242025,2,54,VGK,28,SJS,San Jose,Vegas,4,2,8478109,8478492,OFF,https://api-web.nhle.com/v1/gamecenter/2024020649/play-by-play,2025-01-08 03:30:00+00:00,3:30 am,2025-01-08
2024020650,20242025,2,23,VAN,15,WSH,Washington,Vancouver,1,2,8479400,8480313,OFF,https://api-web.nhle.com/v1/gamecenter/2024020650/play-by-play,2025-01-09 00:30:00+00:00,12:30 am,2025-01-09
2024020651,20242025,2,21,COL,16,CHI,Chicago,Colorado,1,3,8483493,8475852,OFF,https://api-web.nhle.com/v1/gamecenter/2024020651/play-by-play,2025-01-09 00:30:00+00:00,12:30 am,2025-01-09
2024020652,20242025,2,13,FLA,59,UTA,Utah,Florida,4,1,8480003,8475683,OFF,https://api-web.nhle.com/v1/gamecenter/2024020652/play-by-play,2025-01-09 03:00:00+00:00,3:00 am,2025-01-09
2024020654,20242025,2,7,BUF,9,OTT,Ottawa,Buffalo,4,0,8482097,8480045,OFF,https://api-web.nhle.com/v1/gamecenter/2024020654/play-by-play,2025-01-10 00:00:00+00:00,12:00 am,2025-01-10
2024020655,20242025,2,6,BOS,14,TBL,Tampa Bay,Boston,1,4,8479591,8476883,OFF,https://api-web.nhle.com/v1/gamecenter/2024020655/play-by-play,2025-01-10 00:00:00+00:00,12:00 am,2025-01-10
2024020656,20242025,2,1,NJD,3,NYR,New York,New Jersey,2,3,8475842,8478048,OFF,https://api-web.nhle.com/v1/gamecenter/2024020656/play-by-play,2025-01-10 00:00:00+00:00,12:00 am,2025-01-10
2024020657,20242025,2,25,DAL,4,PHI,Philadelphia,Dallas,4,1,8478449,8479193,OFF,https://api-web.nhle.com/v1/gamecenter/2024020657/play-by-play,2025-01-10 00:00:00+00:00,12:00 am,2025-01-10
2024020658,20242025,2,22,EDM,5,PIT,Pittsburgh,Edmonton,3,5,8482055,8477968,OFF,https://api-web.nhle.com/v1/gamecenter/2024020658/play-by-play,2025-01-10 00:00:00+00:00,12:00 am,2025-01-10
2024020659,20242025,2,10,TOR,12,CAR,Carolina,Toronto,3,6,8482809,8481611,OFF,https://api-web.nhle.com/v1/gamecenter/2024020659/play-by-play,2025-01-10 00:30:00+00:00,12:30 am,2025-01-10
2024020660,20242025,2,55,SEA,29,CBJ,Columbus,Seattle,2,6,8478460,8478007,OFF,https://api-web.nhle.com/v1/gamecenter/2024020660/play-by-play,2025-01-10 00:00:00+00:00,12:00 am,2025-01-10
2024020661,20242025,2,24,ANA,19,STL,St. Louis,Anaheim,2,6,8479385,8480981,OFF,https://api-web.nhle.com/v1/gamecenter/2024020661/play-by-play,2025-01-10 01:00:00+00:00,1:00 am,2025-01-10
2024020662,20242025,2,21,COL,30,MIN,Minnesota,Colorado,6,1,8479525,8478406,OFF,https://api-web.nhle.com/v1/gamecenter/2024020662/play-by-play,2025-01-10 01:00:00+00:00,1:00 am,2025-01-10
2024020663,20242025,2,2,NYI,54,VGK,Vegas,New York,4,0,8475314,8478009,OFF,https://api-web.nhle.com/v1/gamecenter/2024020663/play-by-play,2025-01-10 03:00:00+00:00,3:00 am,2025-01-10
2024020664,20242025,2,16,CHI,17,DET,Detroit,Chicago,3,5,8481607,8475660,OFF,https://api-web.nhle.com/v1/gamecenter/2024020664/play-by-play,2025-01-11 00:00:00+00:00,12:00 am,2025-01-11
